feature,beta,lambda
foundation_Wood,0.0,-422.22875488169905
foundation_Stone,-0.00022303428339405534,-211.11437414843385
functional_Typ,0.02967753591688536,19.191789406682002
functional_Min2,0.0,-45.238794499797926
functional_Maj1,-0.0062182087945247926,-180.95517238204494
functional_Mod,-0.005819657818973797,-211.114377291044
functional_Min1,-0.0,-55.0733156737663
functional_Maj2,-0.0008464323094811876,-633.3431427254101
functional_Sev,-0.018152400260043,8.472135811722177
garage_cond_TA,-0.0,15.4436831620359
garage_cond_Fa,-0.0,-46.91430679015788
garage_cond_Gd,-0.0,-422.2287400299161
garage_cond_Po,0.0,-211.11437729111202
garage_finish_RFn,-0.0007110920064896741,-4.743153762393961
garage_finish_Unf,-0.0,-1.1354744666400578
garage_finish_Fin,0.01102171856212823,-5.235540047664488
garage_qual_TA,-0.000702562909911335,13.181672013401927
garage_qual_Fa,0.0,-30.159195331159097
garage_qual_nan,0.018754921127785134,-28.14858098142272
garage_qual_Gd,0.014525469808856469,-211.11437414836806
garage_qual_Ex,0.0,8.472135811722177
garage_qual_Po,-0.002749729487727063,-422.2287400299161
garage_type_Attchd,-0.0,1.5889392368396034
garage_type_Detchd,0.0,-4.3475875328553775
garage_type_BuiltIn,0.0,-23.899714840759735
garage_type_Basment,-0.0,-140.7429185127729
garage_type_2Types,0.0,-316.6715662827798
garage_type_CarPort,-0.0015944422505701984,-316.6715662827798
heating_GasA,-0.0,105.55719007770249
heating_GasW,0.0,-180.95517238204494
heating_Grav,-0.0,-316.6715569105175
heating_OthW,-0.012085373202766805,8.472135811722177
heating_Wall,0.006317611753099471,8.472135811722177
heating_qc_Ex,0.010582952114974222,-0.19724070109656966
heating_qc_TA,-0.007185916731804074,-3.757661378682474
heating_qc_Gd,0.0,-7.880221223350883
heating_qc_Fa,-0.0,-50.66744924705761
heating_qc_Po,-0.0,8.472135811722177
house_style_2Story,-0.0,-3.5722796422131795
house_style_1Story,0.01322263369014617,-0.33550681957955547
house_style_1.5Fin,-0.0019269014968925978,-13.181671958525778
house_style_SFoyer,0.0,-38.384432279650966
house_style_SLvl,-0.01781776359466357,-37.25547729759103
house_style_2.5Unf,0.0,-126.66862613491034
kitchen_qual_Gd,0.0,-1.715110254993434
kitchen_qual_TA,-0.0016119213742634253,0.15777485403722663
kitchen_qual_Ex,0.06542139004955295,-23.89971483761272
kitchen_qual_Fa,-0.00581105641349327,-55.07331661760002
land_contour_Lvl,-0.0,14.387463891690802
land_contour_HLS,0.020460196894369176,-36.1910350834237
land_contour_Low,0.0037921983931162757,-74.51095675998177
land_contour_Bnk,-0.0,-35.18572854325701
land_slope_Gtl,-0.0,29.457816650986718
land_slope_Sev,0.0,-211.1143741300591
lot_config_CulDSac,0.00600347148049714,-25.850732068278486
lot_config_Inside,0.0,4.466546742223916
lot_config_Corner,-0.0,-7.553316186541959
lot_config_FR2,-0.013699349702519332,-50.667450746833765
lot_config_FR3,-0.00039845645035897184,-253.3372529155674
lot_shape_IR1,0.0,-3.265529333772126
lot_shape_IR2,0.0,-60.318393370130984
lot_shape_IR3,-0.00045364630091549417,-180.95517238204494
mas_vnr_type_BrkFace,0.010487970658361894,-4.23089552250765
mas_vnr_type_None,-0.0,1.928278272148135
mas_vnr_type_nan,-0.0,-1266.686200174086
mas_vnr_type_Stone,-0.0,-15.830596177214826
mas_vnr_type_BrkCmn,-0.010182920586209187,-105.55718538927016
misc_feature_Shed,-0.0,-32.47913387016066
misc_feature_Gar2,0.0,-1266.6862189214037
misc_feature_Othr,0.0,-1266.68630426817
mo_sold_3,-0.01805539856583409,-19.791673421096668
mo_sold_4,0.0,-17.839711235214814
mo_sold_1,-0.0,-28.788321804186708
mo_sold_6,-0.0,-8.109925985788605
mo_sold_5,0.0,-9.071404427175642
mo_sold_7,0.0012438459171433204,-8.537375576619736
mo_sold_2,-0.0,-43.67883533959896
mo_sold_12,-0.0,-48.71870292776064
mo_sold_10,-0.0,-25.8507316856776
mo_sold_9,0.007601698394518843,-24.3593310562541
mo_sold_11,-0.0,-31.667155375607283
mo_sold_8,0.0,-19.19178940686028
ms_subclass_60,-0.0,-6.723908349027934
ms_subclass_20,0.0,-2.7104689400596738
ms_subclass_180,0.0,-211.1143741300591
ms_subclass_160,-0.023012919793461564,-30.89478658429956
